store,sku,asin,total,cooler,landed,current_item_price,target_item_price,delta_pct,status,fulfillment,title
store1,743269740934,B0G2N7M9HG,24,S,51.50,78.22,77.25,1,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,743269741092,B0G2N2CXF6,24,S,51.50,78.22,77.25,1,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Raspberry Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,743269741139,B0G2N287HD,24,S,51.50,77.72,77.25,1,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Mixed Berry Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,743269741177,B0G2N725Q9,24,S,51.50,78.22,77.25,1,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Mixed Berry Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671745886,B0G2N46SQD,48,M,90.90,136.01,136.35,0,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Mixed Berry Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,743269740620,B0G2BHCZHG,48,M,90.90,136.01,136.35,0,Active,DEFAULT,"Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7,2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,743269740644,B0G2BDGSP9,108,XL,186.90,280.11,280.35,0,Active,DEFAULT,"Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7,2 oz, 4 count each – Pack of 27 (total 108 pieces)"
store1,743269740811,B0G2BHSRPY,16,S,43.50,65.23,65.25,0,Active,DEFAULT,"Uncrustables Peanut Butter & Strawberry Sandwiches on Wheat Bread, Gift Set, 22,4 oz, 8 count each – Pack of 2 (total 16 pieces)"
store1,743269740903,B0G2N4N227,48,M,90.90,136.01,136.35,0,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,743269740958,B0G2N2BMDD,64,L,123.10,185.56,184.65,0,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 16 (total 64 pieces)"
